c,x,y,z
0,3.5,5.5,10.0
1,0.48692,1.54833,10.30622
2,0.00617,2.85233,9.97777
3,6.12762,1.78962,9.89361
4,1.27443,2.73854,10.18376
5,1.40844,1.03331,9.89079
6,6.52732,3.13253,7.58545
7,7.46051,0.44125,11.02649
8,4.45167,6.92682,9.69707
9,5.89399,0.3116,10.81224
10,2.30434,1.42318,10.31203
11,3.5,2.59156,10.16204
12,2.29749,0.28618,12.06269
13,0.37396,3.79989,9.96083
14,2.01818,6.71382,12.45484
15,0.47236,4.8671,9.60102
16,5.05311,1.51846,14.17843
17,5.90719,5.5,8.11706
18,5.28962,2.66166,12.58052
19,4.5,0.81834,10.99679
20,0.09113,6.548,10.8542
21,2.05311,3.5,10.79557
22,1.45492,5.38964,9.75167
23,4.63799,3.36063,11.70277
24,5.3116,7.383,10.43333
25,3.36063,7.07776,10.41268
26,6.49142,6.26106,13.2375
27,2.45492,3.43268,10.61153
28,2.31472,5.4826,9.88923
29,2.99956,4.40844,9.49846
30,3.40844,1.36063,9.54391
31,5.30754,3.60199,7.30585
32,4.5,4.5,9.15812
33,7.4904,5.32502,8.7871
34,3.3116,3.59156,10.75306
35,4.6884,5.54508,11.86649
