c,Rg
0,1.80925101989746
1,2.1721679559601275
2,2.3068186803908106
3,2.3430441258755668
4,2.9080678057775753
5,3.0438451795549653
6,1.8755464588220683
7,2.2109422025462355
8,2.6084281707955843
9,1.9226444277608898
10,2.0750990427928975
11,1.7442699554828085
12,2.1530618146490825
13,1.814802706907834
14,2.040111787647922
15,1.7583028463265364
16,1.685431597366087
17,2.052546007791299
18,1.7615045263353712
19,1.498438736051628
20,1.7563560693094098
21,2.167090326705373
22,2.555479617645189
23,2.136830871009683
24,2.604340763456273
25,3.163996104691028
26,2.342145991863018
27,2.2438493554826713
28,2.4288009398466563
29,2.5975723790878287
30,2.41383191347285
31,2.0898237198864407
32,1.8952318603273852
33,1.723291671511239
34,1.7975672103429121
35,2.1432822772560787
