x,y,z
2,4,9
2,3,9
3,3,9
3,4,9
3,4,10
3,4,11
3,4,12
2,4,12
2,3,12
1,3,12
0,3,12
0,3,13
1,3,13
1,2,13
1,2,12
1,2,11
2,2,11
2,3,11
3,3,11
3,3,10
0,2,6
0,2,5
0,1,5
0,1,6
0,1,7
6,1,7
6,1,6
5,1,6
5,1,7
4,1,7
3,1,7
3,0,7
3,6,7
2,6,7
2,0,7
2,1,7
1,1,7
1,1,6
2,1,6
2,0,6
3,5,3
3,5,2
4,5,2
4,4,2
4,4,1
4,3,1
4,3,0
4,3,19
4,4,19
4,4,18
5,4,18
5,5,18
4,5,18
4,5,19
5,5,19
6,5,19
6,5,18
6,4,18
6,3,18
6,2,18
6,5,17
6,4,17
6,4,16
6,5,16
0,5,16
0,4,16
0,4,15
1,4,15
1,4,14
2,4,14
2,4,13
2,3,13
2,3,14
2,3,15
2,2,15
2,1,15
1,1,15
1,1,14
0,1,14
0,0,14
4,1,2
5,1,2
5,0,2
6,0,2
6,0,1
6,0,0
6,1,0
6,1,19
6,0,19
6,0,18
0,0,18
0,6,18
0,5,18
1,5,18
1,5,17
1,6,17
1,6,18
2,6,18
3,6,18
3,0,18
4,2,3
3,2,3
3,2,2
3,2,1
3,3,1
3,3,0
3,2,0
2,2,0
2,2,19
2,2,18
2,1,18
1,1,18
0,1,18
0,1,17
6,1,17
6,2,17
5,2,17
5,3,17
5,4,17
5,4,16
1,5,9
1,4,9
1,3,9
0,3,9
0,2,9
6,2,9
6,2,10
6,2,11
0,2,11
0,2,10
1,2,10
1,3,10
0,3,10
6,3,10
6,4,10
0,4,10
0,5,10
0,6,10
0,6,11
1,6,11
0,5,2
6,5,2
6,5,1
6,4,1
6,3,1
5,3,1
5,4,1
5,4,2
6,4,2
6,3,2
0,3,2
0,4,2
0,4,1
0,4,0
1,4,0
2,4,0
3,4,0
3,5,0
2,5,0
2,5,19
3,3,19
3,4,19
3,4,18
2,4,18
2,4,19
1,4,19
1,3,19
0,3,19
6,3,19
5,3,19
5,4,19
6,4,19
6,4,0
5,4,0
5,5,0
5,6,0
5,6,1
5,0,1
5,0,0
5,0,19
3,1,13
4,1,13
4,1,12
5,1,12
6,1,12
6,1,11
6,1,10
0,1,10
0,1,11
1,1,11
1,1,12
0,1,12
0,2,12
6,2,12
5,2,12
5,2,11
5,1,11
4,1,11
4,2,11
4,3,11
2,2,4
2,3,4
2,3,3
2,2,3
1,2,3
1,3,3
1,4,3
1,5,3
2,5,3
2,5,2
1,5,2
1,4,2
1,4,1
