c,x,y,z
0,4.9338,0.12632,11.9294
1,5.00419,2.53796,3.27225
2,1.90802,4.44582,5.15228
3,0.76182,5.69089,9.41041
4,1.29144,5.02504,1.03759
5,5.77742,6.53006,4.99409
6,0.66893,0.05428,7.33611
7,6.60161,0.33375,3.85992
8,2.49842,2.48027,19.05039
9,2.60601,1.44582,9.74732
10,2.89325,3.55418,11.60591
11,5.08199,0.59986,16.44597
12,4.86747,3.25455,11.04002
13,2.62682,3.27234,6.55051
14,1.50513,7.18321,13.89266
15,3.23028,2.09855,4.64784
16,0.90019,2.0251,12.44973
17,7.45136,3.6485,11.485
18,5.77799,5.03233,7.04016
19,6.7556,5.42332,8.89543
20,3.86436,2.64062,15.6631
21,2.46758,4.5,3.74732
22,2.79989,4.8116,11.25763
23,1.54871,5.87016,18.24672
24,4.91629,0.09803,9.59091
25,2.89399,4.28113,16.70229
26,4.11326,0.47721,1.90117
27,3.59849,0.79976,2.20826
28,0.40075,0.36578,17.75088
29,4.33708,4.03195,0.63275
30,3.33708,0.73832,13.82713
31,5.18386,2.76193,7.55051
32,0.93086,5.16217,15.29674
33,7.37941,3.75219,19.08659
34,4.36696,7.35328,5.04919
35,4.22491,5.32196,19.07065
