c,Rg
0,1.7541635855586557
1,2.4867803925960166
2,2.7355441295837286
3,1.7617426471820452
4,2.2672500279192858
5,2.114507461750845
6,2.367489783779436
7,2.6486693811987934
8,2.5151843980312854
9,2.482552573159328
10,2.0664127543644324
11,2.602000545234378
12,2.176179409102108
13,2.2424890618462334
14,2.151260895475023
15,3.0293127597030978
16,2.5979736729612943
17,2.8767924797941196
18,2.3743735899179805
19,2.2469546717946938
20,1.9839898924389712
21,2.2260910771574465
22,1.8431651434692442
23,2.5346814024843436
24,2.1060235188857694
25,2.0799518487695816
26,2.6220986038667573
27,2.56228497152444
28,1.9043163275306974
29,2.262511991238941
30,2.3796926203608733
31,2.272803844967709
32,1.6929025029811966
33,1.9352324970400845
34,2.4874153446097416
35,2.147528300581857
