c,x,y,z
0,3.13721,4.84861,7.78843
1,0.57379,1.36063,10.02454
2,6.51487,2.45167,12.71111
3,5.65196,1.23342,9.45573
4,0.98542,2.63937,10.84847
5,1.5,2.34272,10.21189
6,6.5,3.64348,10.51195
7,1.44987,6.36063,6.77237
8,4.87265,6.75534,8.51961
9,5.21038,1.44792,11.42968
10,1.86747,0.42445,8.65405
11,3.21038,2.59156,7.60869
12,1.99956,4.63348,3.318
13,0.54508,3.3503,10.4741
14,2.41163,7.07776,6.56841
15,0.73854,5.1884,6.51392
16,5.0,2.18232,10.5935
17,6.94272,4.73854,10.79958
18,4.59479,3.04165,10.39445
19,4.44582,7.20209,10.45472
20,7.27925,0.14805,8.44904
21,1.76658,3.90783,9.71524
22,1.61509,4.05311,9.23842
23,5.6884,3.18232,10.13057
24,5.59826,5.78962,8.7382
25,3.6155,0.47236,7.83698
26,0.26672,7.46684,8.33731
27,2.73894,1.54508,7.60219
28,2.21038,4.79406,10.20805
29,3.28027,4.94148,10.02483
30,3.73854,1.35565,12.51675
31,5.7702,5.38573,8.71629
32,4.5,4.63937,9.76656
33,6.55521,6.21908,5.47219
34,3.3801,3.40844,10.28902
35,4.33859,5.96682,9.96378
