c,Rg
0,2.44316877210724
1,3.0182230519959923
2,2.215507813143524
3,2.1014945710850648
4,2.97178591424416
5,2.4708293340293657
6,2.4175530151167317
7,2.2359971039560853
8,2.8023601055182046
9,2.0631778643151444
10,2.4948026533776173
11,2.4559246767969083
12,2.363459110604624
13,2.109153178173648
14,2.883346632803625
15,1.9743875123693426
16,2.6419931665316625
17,2.1196385828956785
18,2.28078369658326
19,1.750968582870635
20,2.3793775130062906
21,2.945648461951969
22,2.149029347728877
23,2.09693674470643
24,1.9156930790969622
25,1.8242854719862238
26,2.472788782164785
27,1.9671829393831173
28,2.0841235015468733
29,2.4140355821114152
30,2.8769046083768575
31,2.219348493364663
32,1.8452018730480413
33,1.9149769604097069
34,1.5560142787583924
35,1.520234159430711
