c,x,y,z
0,6.31639,1.01561,9.2455
1,1.77144,3.72807,10.24907
2,5.20251,5.79496,8.55628
3,3.0,4.36351,10.94766
4,4.53612,5.28849,13.28986
5,1.52081,4.89399,11.16467
6,7.47329,5.39518,4.94495
7,7.28136,5.98278,17.10272
8,2.67062,1.42894,4.89924
9,0.38136,2.60601,10.65216
10,7.01713,4.59479,6.55051
11,1.94689,3.29979,11.99757
12,2.11348,2.39801,19.17268
13,4.34195,3.88915,19.22253
14,3.42092,7.21864,13.1506
15,1.3243,1.27029,20.19992
16,2.97611,2.86308,20.01479
17,0.24644,0.15978,12.54644
18,3.02288,4.80022,11.60028
19,6.47784,2.37862,14.59934
20,7.28879,2.8116,9.66469
21,4.0612,2.96323,8.39876
22,4.9388,2.70251,3.75328
23,2.65921,6.30144,7.84916
24,4.92394,1.7501,2.40019
25,6.21604,6.592,0.99764
26,1.80926,2.78129,2.87111
27,5.62875,2.16958,8.70229
28,0.64005,2.65701,15.99521
29,1.1884,1.85746,9.36222
30,4.81684,5.21866,0.17623
31,1.52188,1.38964,14.06929
32,4.85615,3.36596,1.80009
33,5.29065,0.89272,9.49505
34,5.38443,6.10345,17.39974
35,5.65545,1.50098,0.50915
