x,y,z
4,1,3
4,1,2
5,1,2
5,1,3
4,1,3
4,0,3
4,0,2
3,0,2
4,0,2
3,0,2
3,1,2
2,1,2
3,1,2
3,1,1
3,1,0
4,1,0
4,1,1
4,1,0
4,1,1
5,1,1
0,3,4
0,4,4
0,4,3
0,5,3
1,5,3
1,5,4
1,5,3
0,5,3
0,4,3
0,3,3
0,3,4
1,3,4
1,3,5
1,3,4
1,3,3
1,4,3
1,3,3
1,3,4
1,3,5
1,3,6
0,0,14
0,0,15
6,0,15
6,0,14
6,0,15
0,0,15
6,0,15
6,0,14
0,0,14
1,0,14
1,0,15
1,1,15
1,2,15
1,2,14
1,2,13
2,2,13
1,2,13
1,2,12
2,2,12
2,2,11
6,3,9
0,3,9
0,3,8
1,3,8
1,3,9
0,3,9
0,3,10
0,3,9
6,3,9
0,3,9
0,4,9
1,4,9
1,5,9
2,5,9
2,6,9
3,6,9
4,6,9
4,6,8
4,5,8
3,5,8
0,6,10
0,6,9
0,5,9
0,4,9
0,4,10
1,4,10
1,5,10
2,5,10
3,5,10
3,6,10
3,6,9
3,5,9
3,6,9
3,5,9
3,5,10
4,5,10
4,6,10
3,6,10
3,0,10
3,0,9
3,5,16
2,5,16
1,5,16
1,4,16
2,4,16
2,4,15
2,3,15
3,3,15
3,3,14
4,3,14
4,3,15
5,3,15
6,3,15
6,3,16
6,2,16
6,2,17
6,1,17
0,1,17
0,1,18
0,0,18
3,0,14
3,1,14
3,1,15
2,1,15
1,1,15
1,1,16
1,1,17
1,1,18
1,1,17
1,1,18
0,1,18
6,1,18
6,1,19
6,1,18
0,1,18
1,1,18
1,1,17
0,1,17
6,1,17
6,0,17
4,2,0
4,2,19
5,2,19
5,3,19
5,2,19
5,2,18
5,2,17
5,2,16
5,1,16
5,1,17
5,0,17
5,0,18
5,1,18
5,2,18
5,1,18
5,0,18
5,1,18
5,1,17
4,1,17
4,1,18
3,6,7
3,6,6
3,5,6
3,4,6
3,4,7
3,4,8
3,5,8
3,4,8
2,4,8
2,3,8
2,3,7
2,3,6
2,4,6
2,4,5
2,3,5
2,3,4
2,3,5
2,2,5
1,2,5
1,1,5
3,3,6
3,2,6
4,2,6
4,3,6
4,4,6
5,4,6
5,5,6
5,5,5
5,5,6
5,4,6
5,3,6
5,3,5
5,3,4
5,3,5
5,4,5
5,4,4
5,5,4
5,5,5
6,5,5
6,5,6
2,3,9
2,3,8
2,4,8
2,4,9
2,5,9
2,4,9
1,4,9
1,4,8
0,4,8
1,4,8
1,4,7
1,4,6
1,3,6
1,3,5
1,4,5
1,4,6
1,4,5
0,4,5
6,4,5
5,4,5
0,2,17
6,2,17
6,2,16
6,3,16
6,3,15
5,3,15
4,3,15
4,2,15
4,2,14
5,2,14
5,2,13
5,2,14
5,3,14
5,2,14
6,2,14
6,2,13
6,2,14
5,2,14
4,2,14
4,1,14
2,2,12
2,2,13
2,2,14
3,2,14
3,1,14
2,1,14
3,1,14
4,1,14
4,0,14
4,6,14
4,0,14
4,6,14
5,6,14
4,6,14
5,6,14
5,5,14
5,4,14
5,4,13
5,4,14
5,3,14
4,5,12
4,6,12
4,5,12
5,5,12
6,5,12
6,4,12
6,4,11
6,5,11
6,5,12
5,5,12
4,5,12
4,5,11
5,5,11
4,5,11
4,5,12
4,4,12
3,4,12
3,5,12
3,5,11
4,5,11
3,1,3
2,1,3
2,2,3
2,2,4
1,2,4
0,2,4
0,2,5
1,2,5
2,2,5
2,3,5
2,3,4
2,4,4
2,3,4
3,3,4
4,3,4
4,4,4
5,4,4
5,4,5
5,5,5
4,5,5
1,4,1
0,4,1
0,3,1
0,3,0
0,4,0
1,4,0
1,4,19
1,5,19
0,5,19
6,5,19
