x,y,z
3,4,16
3,5,16
3,5,15
4,5,15
4,5,16
4,5,17
4,6,17
4,0,17
4,0,16
4,0,15
3,0,15
2,0,15
1,0,15
2,0,15
1,0,15
1,0,16
1,6,16
1,5,16
1,4,16
1,3,16
1,6,0
2,6,0
1,6,0
1,0,0
1,0,19
1,0,18
1,1,18
2,1,18
2,2,18
2,2,19
1,2,19
0,2,19
0,1,19
0,2,19
1,2,19
1,2,18
1,3,18
1,2,18
2,2,18
2,3,18
1,1,18
1,0,18
1,6,18
1,6,17
1,5,17
0,5,17
0,4,17
1,4,17
1,4,18
1,4,17
1,4,16
0,4,16
0,4,15
1,4,15
1,4,16
1,4,17
1,4,18
1,4,17
1,3,17
0,3,17
0,1,14
0,0,14
0,1,14
0,0,14
1,0,14
0,0,14
0,6,14
1,6,14
1,0,14
1,0,13
1,0,12
0,0,12
0,6,12
0,0,12
6,0,12
6,0,13
6,0,14
6,0,15
5,0,15
4,0,15
3,3,13
3,3,14
4,3,14
4,2,14
5,2,14
5,3,14
5,3,15
6,3,15
6,3,16
5,3,16
5,2,16
4,2,16
3,2,16
2,2,16
2,2,15
3,2,15
3,2,14
4,2,14
4,3,14
4,3,15
3,4,10
2,4,10
2,4,9
3,4,9
3,4,8
4,4,8
5,4,8
5,5,8
4,5,8
5,5,8
6,5,8
6,5,9
6,4,9
6,3,9
6,3,8
5,3,8
5,3,9
5,2,9
5,3,9
5,3,8
3,0,10
3,0,11
3,1,11
3,0,11
2,0,11
1,0,11
1,6,11
1,6,12
1,6,11
2,6,11
2,0,11
2,6,11
2,6,12
2,0,12
2,1,12
3,1,12
3,2,12
3,2,11
3,3,11
3,3,12
1,4,17
2,4,17
3,4,17
3,3,17
3,3,16
2,3,16
2,2,16
1,2,16
1,1,16
1,1,15
2,1,15
2,2,15
2,2,16
1,2,16
1,1,16
0,1,16
0,2,16
0,1,16
0,1,15
0,1,14
5,6,17
5,6,16
4,6,16
5,6,16
4,6,16
5,6,16
6,6,16
6,6,17
6,0,17
0,0,17
1,0,17
2,0,17
3,0,17
4,0,17
4,1,17
4,1,16
3,1,16
2,1,16
2,0,16
1,0,16
2,3,1
2,4,1
2,4,2
2,4,1
1,4,1
2,4,1
2,3,1
2,3,0
2,2,0
2,1,0
2,2,0
2,2,1
1,2,1
1,2,2
1,2,1
1,3,1
0,3,1
0,3,0
0,4,0
0,4,1
2,6,19
2,5,19
2,6,19
3,6,19
3,0,19
3,6,19
3,6,0
3,0,0
3,6,0
4,6,0
4,6,1
4,0,1
4,0,2
4,1,2
5,1,2
4,1,2
4,0,2
4,0,1
5,0,1
5,0,2
4,2,2
3,2,2
3,3,2
3,3,1
2,3,1
2,2,1
1,2,1
2,2,1
2,2,2
2,2,3
2,2,4
1,2,4
1,3,4
1,3,3
2,3,3
2,4,3
3,4,3
3,5,3
3,4,3
3,5,3
3,6,16
3,6,17
3,6,18
3,0,18
4,0,18
4,0,19
4,6,19
4,0,19
5,0,19
5,1,19
5,1,18
5,2,18
5,3,18
5,3,17
5,3,18
5,3,19
5,4,19
5,3,19
6,3,19
0,3,19
2,2,5
1,2,5
1,3,5
1,3,4
0,3,4
0,4,4
6,4,4
6,4,5
5,4,5
5,3,5
6,3,5
5,3,5
5,3,4
4,3,4
4,4,4
4,4,3
5,4,3
5,4,4
5,4,3
5,4,2
1,1,6
1,2,6
1,2,5
1,2,4
1,2,5
0,2,5
1,2,5
1,2,6
1,1,6
0,1,6
0,1,7
0,1,8
0,0,8
1,0,8
0,0,8
1,0,8
2,0,8
1,0,8
1,0,7
1,0,8
6,2,8
0,2,8
0,3,8
0,4,8
6,4,8
6,4,9
6,4,8
6,5,8
