c,Rg
0,1.4005923943817489
1,1.2256725789948966
2,2.0076024545711237
3,1.8947587247457127
4,2.0937224279259175
5,2.090629625973955
6,1.9844101121995923
7,1.3379503040098313
8,1.9474619490249354
9,2.0892413659747406
10,1.585535698147475
11,1.526901630197571
12,1.736419170304221
13,1.6611282019759943
14,1.2649232809146964
15,1.6365466960340604
16,1.5511349919977953
17,1.4522991138536163
18,1.6390577469692762
19,1.1598665552984966
20,2.291658267456123
21,1.386523746280604
22,2.127347829317058
23,1.4976580764981036
24,1.8857968220622285
25,1.3556653765218023
26,1.31364777653677
27,2.284190991160765
28,1.4836416987938834
29,2.047715919115735
30,1.513297530857696
31,1.3730109379389517
32,2.018519536417718
33,1.2154497905713753
34,2.174410905900722
35,1.6235877586074614
