x,y,z
1,1,11
1,1,10
1,2,10
2,2,10
2,2,11
2,1,11
3,1,11
3,0,11
3,6,11
2,6,11
2,5,11
2,4,11
2,3,11
2,2,11
2,2,12
1,2,12
1,2,11
1,1,11
1,2,11
1,1,11
2,1,12
2,2,12
2,2,11
2,3,11
2,2,11
2,2,12
2,2,11
2,1,11
1,1,11
2,1,11
1,1,11
2,1,11
2,1,12
2,1,11
1,1,11
1,1,10
2,1,10
2,0,10
3,0,10
3,0,11
1,0,11
1,1,11
1,0,11
1,1,11
1,0,11
2,0,11
2,0,10
1,0,10
1,0,11
1,1,11
1,1,12
1,2,12
1,2,11
1,1,11
1,1,10
1,1,11
2,1,11
1,1,11
1,1,12
1,2,12
2,2,12
2,2,11
2,1,11
2,2,11
2,2,12
2,2,11
2,2,10
1,2,10
1,2,11
1,2,10
1,2,11
1,2,10
1,2,11
1,1,11
1,2,11
1,2,10
2,2,10
2,2,11
2,1,11
3,1,11
2,0,11
3,0,11
2,0,11
1,0,11
1,1,11
1,1,12
2,1,12
3,1,12
3,2,12
2,2,12
2,1,12
1,1,12
2,1,12
1,1,12
1,0,12
1,1,12
2,1,12
2,0,12
1,0,12
2,0,12
1,1,10
2,1,10
2,0,10
3,0,10
2,0,10
2,1,10
3,1,10
3,0,10
2,0,10
2,0,11
1,0,11
2,0,11
2,1,11
2,1,10
2,1,11
1,1,11
0,1,11
0,2,11
0,1,11
1,1,11
3,2,11
3,3,11
2,3,11
3,3,11
3,2,11
3,1,11
3,0,11
2,0,11
2,0,10
3,0,10
3,0,11
3,0,12
3,1,12
2,1,12
1,1,12
1,1,11
1,0,11
1,0,10
1,0,11
2,0,11
3,2,10
3,1,10
3,0,10
3,1,10
3,1,11
3,1,12
2,1,12
3,1,12
2,1,12
3,1,12
3,1,11
2,1,11
2,2,11
1,2,11
1,1,11
2,1,11
2,2,11
3,2,11
3,2,10
3,1,10
3,3,11
3,2,11
3,2,10
3,1,10
3,1,9
3,1,8
3,1,7
3,1,6
3,1,7
3,1,8
3,1,9
3,1,10
3,1,11
3,2,11
2,2,11
3,2,11
3,2,12
3,2,11
3,3,11
3,2,11
2,2,11
1,2,11
2,2,11
2,1,11
3,1,11
2,1,11
3,1,11
3,0,11
2,0,11
2,6,11
2,5,11
2,4,11
2,5,11
2,6,11
2,0,11
2,0,10
2,1,10
2,0,10
2,1,10
2,1,11
3,1,11
3,1,10
2,1,10
1,1,10
1,0,10
1,0,11
1,1,11
1,0,11
1,0,10
2,0,10
2,0,11
1,0,11
2,0,11
2,1,11
3,1,11
2,1,11
2,2,11
2,2,10
2,1,10
2,0,10
1,0,10
1,1,10
1,1,11
2,1,11
2,1,10
3,1,10
3,1,11
3,1,12
3,0,12
3,1,12
2,1,12
3,1,12
2,1,12
2,0,12
3,0,12
3,1,12
3,2,12
3,1,12
2,1,12
3,1,12
3,1,11
2,1,11
3,1,11
2,1,11
2,1,10
2,0,10
3,0,10
2,0,10
2,0,11
2,1,11
2,2,11
2,1,11
2,2,11
1,2,11
1,2,12
1,2,11
2,2,11
3,2,11
3,1,11
3,2,11
2,2,11
2,1,11
3,1,11
2,1,11
2,1,10
2,2,10
2,2,11
2,2,10
2,1,10
2,0,10
1,0,10
1,1,10
2,1,10
2,2,10
2,1,10
2,1,11
1,1,11
1,1,10
1,1,11
0,1,11
1,0,11
1,0,10
1,1,10
1,0,10
2,0,10
3,0,10
2,0,10
2,0,11
2,6,11
2,5,11
2,6,11
2,0,11
1,0,11
1,0,10
2,0,10
1,0,10
2,0,10
1,0,10
2,0,10
1,0,10
2,2,10
2,2,11
3,2,11
3,1,11
2,1,11
2,1,10
2,1,11
1,1,11
0,1,11
0,1,10
1,1,10
1,2,10
0,2,10
1,2,10
2,2,10
2,2,11
3,2,11
3,1,11
3,0,11
2,0,11
1,2,12
1,2,11
1,1,11
1,1,10
0,1,10
0,1,11
1,1,11
0,1,11
0,1,12
0,1,11
6,1,11
5,1,11
6,1,11
0,1,11
0,2,11
1,2,11
1,1,11
1,1,10
1,0,10
1,0,11
3,1,11
3,2,11
2,2,11
2,1,11
3,1,11
3,0,11
3,1,11
3,1,12
3,0,12
3,0,11
2,0,11
1,0,11
1,1,11
1,1,12
2,1,12
2,1,11
1,1,11
1,0,11
1,1,11
1,2,11
0,2,10
1,2,10
2,2,10
2,1,10
2,2,10
2,1,10
3,1,10
3,1,11
2,1,11
2,0,11
2,0,12
1,0,12
1,1,12
1,1,11
1,1,10
1,1,11
1,2,11
0,2,11
0,1,11
0,2,11
2,1,11
2,1,10
3,1,10
3,1,9
3,1,8
3,1,7
3,1,8
3,1,9
3,1,10
3,1,9
3,1,10
2,1,10
1,1,10
1,2,10
2,2,10
3,2,10
2,2,10
1,2,10
0,2,10
1,2,10
1,0,11
1,1,11
1,1,12
1,1,11
1,0,11
1,1,11
1,1,12
1,2,12
1,2,11
1,2,12
0,2,12
0,1,12
1,1,12
0,1,12
0,2,12
0,2,11
0,2,12
0,2,11
0,1,11
0,1,12
1,0,11
2,0,11
1,0,11
1,1,11
0,1,11
0,1,12
1,1,12
1,2,12
1,2,13
1,2,14
1,2,13
1,2,12
2,2,12
2,2,11
2,1,11
2,1,12
3,1,12
3,2,12
3,1,12
2,1,12
1,1,10
2,1,10
2,1,11
2,0,11
1,0,11
2,0,11
2,1,11
2,1,12
1,1,12
1,1,11
1,0,11
1,1,11
2,1,11
1,1,11
2,1,11
2,1,10
2,1,11
2,0,11
3,0,11
3,1,11
1,2,10
1,2,11
0,2,11
0,1,11
6,1,11
5,1,11
6,1,11
0,1,11
1,1,11
2,1,11
2,0,11
2,1,11
2,1,10
2,2,10
2,2,11
1,2,11
1,2,12
0,2,12
0,2,11
0,2,12
3,0,11
4,0,11
4,1,11
4,1,10
4,1,11
5,1,11
4,1,11
3,1,11
4,1,11
3,1,11
3,0,11
2,0,11
2,1,11
2,0,11
3,0,11
3,1,11
3,1,12
2,1,12
2,1,11
2,0,11
1,2,10
1,2,11
1,1,11
0,1,11
1,1,11
0,1,11
1,1,11
1,2,11
0,2,11
0,2,10
0,1,10
1,1,10
0,1,10
1,1,10
1,2,10
1,1,10
1,2,10
1,2,11
1,2,12
1,2,13
3,2,10
2,2,10
1,2,10
2,2,10
2,2,11
2,2,12
2,2,11
2,1,11
2,0,11
2,6,11
2,0,11
1,0,11
2,0,11
3,0,11
3,0,10
2,0,10
2,1,10
3,1,10
2,1,10
2,0,10
2,0,12
2,1,12
1,1,12
1,1,11
2,1,11
2,2,11
2,2,12
2,1,12
2,1,11
2,0,11
3,0,11
3,1,11
3,0,11
3,0,10
3,1,10
3,1,11
3,2,11
3,1,11
4,1,11
4,0,11
2,1,10
2,0,10
2,1,10
1,1,10
0,1,10
1,1,10
0,1,10
0,1,11
1,1,11
2,1,11
1,1,11
1,2,11
2,2,11
3,2,11
3,3,11
3,2,11
2,2,11
2,2,10
2,2,11
1,2,11
2,0,10
1,0,10
1,1,10
1,1,11
2,1,11
2,1,12
2,2,12
1,2,12
2,2,12
2,2,11
2,3,11
2,4,11
2,3,11
2,2,11
2,2,10
3,2,10
3,1,10
3,1,11
3,1,10
3,0,10
3,0,11
3,1,11
3,1,12
3,2,12
2,2,12
1,2,12
1,1,12
1,2,12
1,2,11
1,1,11
1,1,10
2,1,10
2,1,11
2,0,11
2,1,11
2,1,12
1,1,12
1,0,12
1,1,12
1,2,12
2,2,11
2,1,11
2,1,12
2,1,11
2,0,11
2,6,11
2,5,11
2,4,11
2,3,11
2,2,11
2,2,12
3,2,12
3,1,12
3,2,12
3,2,11
2,2,11
2,1,11
2,0,11
2,1,11
1,1,11
1,1,10
1,0,10
2,0,10
2,1,10
3,1,10
3,2,10
3,2,11
3,3,11
2,3,11
2,4,11
2,5,11
2,4,11
2,3,11
2,2,11
2,1,11
2,0,11
2,6,11
3,6,11
3,0,11
3,0,12
4,1,12
3,1,12
3,1,11
3,0,11
3,0,12
3,1,12
2,1,12
2,2,12
1,2,12
1,2,11
0,2,11
1,2,11
0,2,11
0,2,12
1,2,12
1,1,12
2,1,12
2,0,12
3,0,12
2,0,12
3,0,11
3,6,11
3,0,11
3,0,10
3,0,11
3,1,11
3,0,11
3,0,10
2,0,10
2,1,10
2,2,10
2,1,10
3,1,10
3,2,10
3,1,10
4,1,10
4,1,11
3,1,11
2,1,11
3,1,11
2,1,11
3,1,11
3,2,11
3,1,11
3,2,11
2,2,11
1,2,11
1,2,12
1,2,11
0,2,11
1,2,11
1,2,12
2,2,12
2,2,11
2,1,11
2,1,10
3,1,10
3,1,11
3,1,12
3,1,11
