Re,Rx2,Ry2,Rz2
3.774917217635375,1,12.25,1
7.106335201775948,20.25,0.0,30.25
1.7320508075688772,1,1,1
6.4031242374328485,16,16,9
5.024937810560445,20.25,1,4
3.3541019662496847,1,4.0,6.25
3.2015621187164243,4,2.25,4
4.6097722286464435,20.25,1,0
4.123105625617661,16,0.0,1
7.433034373659253,4,42.25,9
6.557438524302,9,9,25
6.34428877022476,30.25,9,1
7.176350047203662,30.25,12.25,9
4.58257569495584,1,4.0,16
2.23606797749979,0,4.0,1
4.6097722286464435,0.0,20.25,1
3.605551275463989,4,9,0
2.692582403567252,6.25,0,1
5.852349955359813,4,0.0,30.25
6.652067347825035,12.25,16,16
3.905124837953327,0,6.25,9
4.123105625617661,0,16,1
5.196152422706632,9,9,9
3.605551275463989,0.0,4,9
3.0,4,4,1
2.23606797749979,1,4,0
4.636809247747852,6.25,6.25,9
6.726812023536855,25.0,20.25,0
6.670832032063167,42.25,0.0,2.25
2.5,2.25,0,4
7.566372975210778,1,20.25,36
3.0,0.0,0,9
1.0,0.0,0,1
1.7320508075688772,1.0,1,1
3.605551275463989,4,9,0
5.5901699437494745,6.25,25,0
