c,x,y,z
0,0.44221,2.85457,12.77557
1,5.64921,3.0,7.00256
2,3.92338,1.85457,4.00764
3,1.61284,1.00169,7.24655
4,3.42531,2.89999,19.60339
5,2.09031,3.18129,8.09479
6,2.07195,3.00944,15.42342
7,1.21201,1.41024,11.79861
8,4.53203,6.90086,13.70646
9,5.9099,3.15762,1.94933
10,4.03475,2.05628,16.84964
11,3.73309,6.36102,9.04818
12,0.44945,1.19984,13.69841
13,2.97723,4.73299,1.99343
14,3.04216,5.44083,9.33296
15,1.12019,1.35042,17.01821
16,5.4992,5.59709,6.60545
17,2.5,2.69689,10.64299
18,0.3203,4.96525,10.3066
19,0.34668,5.31337,15.84024
20,1.02607,0.63856,4.5
21,5.00983,2.01051,3.69031
22,4.59031,0.48831,3.20659
23,6.12177,5.63787,13.5998
24,3.50123,3.70253,18.38124
25,0.68,2.02099,13.70958
26,3.50792,0.14682,5.8411
27,1.05361,3.51467,16.8424
28,0.29799,0.61455,16.76609
29,2.0377,4.62995,16.81631
30,3.15648,4.15985,8.48406
31,6.77979,6.99786,5.6994
32,2.8123,5.89372,15.39818
33,3.61543,2.54597,9.85265
34,5.11251,6.5,5.20039
35,2.78972,3.21504,3.90942
