R_rms,Rx_rms,Ry_rms,Rz_rms,err_Rrms,err_Rx,err_Ry,err_Rz
19.000000,0.000000,0.000000,19.000000,0.000000,nan,nan,0.000000
4.183300,2.166667,2.538591,2.522124,0.254729,0.289258,0.300087,0.291933
4.552167,2.924988,2.409472,2.522124,0.304712,0.389832,0.218398,0.311172
4.434712,2.629956,2.645751,2.397916,0.237011,0.310033,0.211891,0.245930
4.636809,2.409472,2.533114,3.045944,0.284245,0.206825,0.315775,0.347151
4.294700,2.718251,2.455153,2.242271,0.268484,0.259748,0.262224,0.218968
4.778424,2.768875,2.748737,2.758824,0.271247,0.258199,0.310736,0.314929
4.333333,1.972027,2.571208,2.877113,0.349348,0.185653,0.311087,0.415173
4.346135,2.460804,2.351123,2.702879,0.298166,0.307928,0.315374,0.357341
4.229526,2.733537,2.242271,2.321398,0.302231,0.325699,0.294582,0.230303
4.784233,2.603417,2.813657,2.862594,0.294299,0.279586,0.393454,0.295308
4.642796,2.560382,3.341656,1.957890,0.318040,0.301172,0.379770,0.201572
4.465920,2.333333,2.614065,2.768875,0.284985,0.187520,0.280254,0.314093
5.049752,3.118048,3.184162,2.374634,0.234096,0.305301,0.337491,0.266754
4.294700,2.279132,2.565801,2.581989,0.259188,0.235150,0.302927,0.224934
4.624812,2.943920,2.386304,2.650996,0.293001,0.371612,0.237410,0.265405
3.887301,2.321398,2.248456,2.160247,0.273851,0.253151,0.281695,0.204124
3.887301,2.108185,2.339278,2.279132,0.249778,0.224492,0.333471,0.332114
4.242641,2.020726,2.598076,2.677063,0.237658,0.296952,0.261971,0.241408
4.222953,2.576604,2.273030,2.455153,0.307794,0.422906,0.266758,0.312404
4.129837,2.713137,1.870829,2.488864,0.322347,0.386368,0.196483,0.354238
4.156655,2.671870,1.740051,2.666667,0.270788,0.268108,0.176424,0.295405
4.183300,2.753785,2.273030,2.179449,0.264854,0.307024,0.285935,0.190715
4.795832,2.581989,2.500000,3.175426,0.326112,0.241030,0.254156,0.422012
4.760952,2.768875,2.910708,2.554952,0.239119,0.199118,0.270872,0.227379
4.216370,2.862594,2.327373,2.041241,0.263777,0.285299,0.291438,0.280221
4.089281,2.236068,2.333333,2.505549,0.327675,0.340867,0.338110,0.304581
4.503085,2.640497,2.279132,2.848001,0.329520,0.259425,0.200423,0.348591
4.558265,2.392117,2.783882,2.702879,0.322895,0.309311,0.445169,0.290985
4.196559,2.852874,2.160247,2.192158,0.308921,0.365114,0.288085,0.231467
4.082483,2.339278,2.374634,2.357023,0.227722,0.276396,0.265962,0.272350
4.371626,2.682246,2.511087,2.368778,0.248408,0.281417,0.245516,0.255114
4.339739,2.533114,2.677063,2.291288,0.311917,0.301960,0.329813,0.199844
4.116363,2.682246,2.041241,2.362908,0.269006,0.326595,0.218327,0.238357
4.307616,2.432420,2.297341,2.713137,0.283735,0.245465,0.225050,0.343374
4.156655,2.192158,2.708013,2.266912,0.273320,0.252946,0.298626,0.283273
4.490731,2.488864,3.041381,2.173067,0.313964,0.276199,0.367979,0.231475
4.169999,2.656230,2.533114,1.979057,0.291335,0.306743,0.298872,0.198366
4.434712,2.758824,2.420973,2.488864,0.335786,0.405661,0.362526,0.278968
4.654747,2.571208,2.939199,2.533114,0.261021,0.253697,0.325332,0.253897
4.606758,2.687419,3.236081,1.878238,0.351275,0.306622,0.405835,0.231269
