Rg_rms,Rgx_rms,Rgy_rms,Rgz_rms,err_Rgrms,err_Rgx,err_Rgy,err_Rgz
5.338539,0.000000,0.000000,5.338539,0.000000,nan,nan,0.000000
1.700905,0.905784,0.952085,1.079893,0.066990,0.057975,0.053097,0.093624
1.694447,0.861014,0.954714,1.103778,0.064397,0.051354,0.073664,0.089804
1.586294,0.814237,0.945823,0.979165,0.047181,0.051100,0.056379,0.055708
1.534075,0.865078,0.857891,0.932228,0.053284,0.057591,0.050755,0.063244
1.665617,0.974253,0.898181,1.009149,0.067714,0.068604,0.065911,0.073366
1.587660,0.849061,0.901467,0.993539,0.069872,0.049866,0.056537,0.091172
1.627284,0.968887,0.866648,0.978893,0.053840,0.053518,0.049715,0.065683
1.695233,0.897341,0.930407,1.096784,0.066192,0.054304,0.050997,0.071857
1.599755,0.887555,0.944721,0.937532,0.058373,0.057211,0.048560,0.078719
1.567428,0.815383,0.840771,1.041674,0.060178,0.054658,0.051674,0.077044
1.681325,0.885243,0.927839,1.087342,0.094143,0.056391,0.059619,0.132128
1.485702,0.898427,0.804407,0.867795,0.057221,0.062824,0.052339,0.059012
1.639581,0.839052,1.000138,0.991938,0.060838,0.055115,0.059880,0.052395
1.578984,0.929947,0.901986,0.902669,0.069540,0.068887,0.049724,0.093689
1.657428,0.945908,0.915574,1.007000,0.050732,0.056166,0.044900,0.057096
1.659158,0.968782,0.989717,0.913634,0.064618,0.061483,0.069620,0.069772
1.608256,0.831345,0.977462,0.969495,0.059538,0.054484,0.060009,0.075408
1.620739,1.011510,0.884439,0.906318,0.067886,0.060129,0.071013,0.083400
1.673202,0.910538,1.008786,0.976155,0.061450,0.056438,0.054541,0.083025
1.653864,0.837435,0.878941,1.123135,0.055661,0.047327,0.055242,0.076611
1.716195,0.940815,0.871958,1.140124,0.048373,0.060843,0.052985,0.074492
1.629067,0.920863,0.938435,0.961879,0.057197,0.063954,0.054553,0.064400
1.709558,0.806680,1.062197,1.069389,0.058256,0.045665,0.058550,0.065884
1.613042,0.882654,0.952603,0.956752,0.055646,0.047263,0.063634,0.074340
1.537614,0.867525,0.874702,0.920084,0.052390,0.056496,0.051579,0.056994
1.684099,0.840423,1.047770,1.015901,0.062106,0.056235,0.059091,0.069157
1.633172,0.916462,0.830245,1.066790,0.064827,0.052447,0.053182,0.072838
1.501449,0.837316,0.869902,0.892480,0.051149,0.051662,0.056621,0.061310
1.632207,1.007805,0.837998,0.972721,0.060365,0.059967,0.058220,0.077454
1.595423,0.962833,0.868559,0.929480,0.058447,0.062686,0.061005,0.059162
1.552278,0.768328,0.880402,1.021828,0.064285,0.049017,0.061392,0.076568
1.570205,0.912533,0.838739,0.964025,0.043215,0.052084,0.053397,0.056407
1.746887,0.877753,0.963642,1.162996,0.081853,0.056835,0.066620,0.097993
1.652943,0.953731,0.862583,1.038542,0.075523,0.056752,0.059599,0.096057
1.715688,0.858117,0.832013,1.230843,0.066801,0.069352,0.051434,0.088355
1.632092,0.787402,0.936866,1.079817,0.058080,0.049955,0.058117,0.075514
1.601721,0.937222,0.852699,0.979812,0.057534,0.048054,0.052774,0.079190
1.695998,0.929550,0.970569,1.034573,0.047380,0.060001,0.055106,0.067585
1.643133,0.868124,0.864239,1.095142,0.056691,0.051784,0.063289,0.078224
1.598562,0.959069,0.917576,0.890867,0.059182,0.062596,0.056423,0.052793
