x,y,z
6,6,3
6,6,2
5,6,2
5,6,3
5,0,3
4,0,3
5,0,3
5,0,4
5,0,3
5,0,2
5,0,3
6,0,3
6,0,2
6,6,2
5,6,2
5,6,1
5,5,1
5,5,2
6,5,2
0,5,2
0,6,11
0,6,12
0,6,13
1,6,13
2,6,13
2,6,12
2,0,12
2,0,11
1,0,11
1,0,10
1,0,11
2,0,11
2,0,12
1,0,12
0,0,12
0,1,12
0,0,12
0,1,12
1,1,12
1,1,13
2,0,12
1,0,12
1,1,12
1,1,11
1,1,10
0,1,10
0,0,10
1,0,10
1,6,10
1,6,11
2,6,11
2,0,11
1,0,11
0,0,11
0,0,12
0,6,12
0,0,12
0,6,12
0,0,12
0,0,13
0,5,10
0,4,10
1,4,10
1,4,11
2,4,11
2,3,11
2,3,10
3,3,10
3,2,10
3,1,10
3,2,10
3,2,9
3,2,10
3,1,10
4,1,10
4,1,9
3,1,9
4,1,9
5,1,9
6,1,9
3,4,14
3,3,14
3,2,14
3,2,15
3,2,14
2,2,14
2,3,14
2,2,14
2,2,13
2,1,13
1,1,13
1,0,13
1,0,12
1,6,12
1,5,12
2,5,12
2,5,11
2,5,10
3,5,10
4,5,10
0,3,8
0,2,8
0,1,8
1,1,8
0,1,8
0,0,8
0,1,8
0,1,7
0,1,6
1,1,6
1,1,7
1,1,6
2,1,6
2,1,5
1,1,5
2,1,5
1,1,5
0,1,5
0,0,5
0,1,5
5,6,1
5,6,2
4,6,2
4,5,2
4,5,1
3,5,1
3,6,1
2,6,1
2,0,1
1,0,1
1,0,2
0,0,2
0,0,1
0,1,1
6,1,1
5,1,1
5,1,2
6,1,2
6,1,3
6,2,3
4,1,6
4,1,7
5,1,7
5,1,8
5,0,8
5,0,7
5,0,6
4,0,6
3,0,6
3,1,6
3,2,6
4,2,6
4,3,6
4,4,6
5,4,6
5,5,6
5,5,5
5,5,6
5,6,6
5,5,6
2,4,16
2,4,17
1,4,17
1,4,17
1,5,17
2,5,17
2,5,16
2,5,15
2,5,16
1,5,16
1,5,17
1,5,18
2,5,18
2,5,19
2,5,18
1,5,18
1,6,18
1,0,18
1,1,18
0,1,18
0,1,13
0,2,13
0,1,13
0,0,13
0,1,13
1,1,13
0,1,13
1,1,13
0,1,13
6,1,13
6,1,12
6,2,12
0,2,12
0,1,12
0,0,12
0,6,12
1,6,12
1,6,11
2,6,11
2,0,11
5,1,13
5,1,12
5,1,13
5,2,13
5,2,12
5,3,12
5,4,12
5,3,12
5,3,11
6,3,11
6,3,12
6,2,12
6,2,11
6,2,10
6,1,10
0,1,10
0,1,11
0,0,11
0,6,11
6,6,11
1,5,18
1,6,18
2,6,18
2,6,17
1,6,17
1,6,16
1,0,16
0,0,16
0,0,17
6,0,17
6,1,17
6,2,17
5,2,17
6,2,17
6,2,16
5,2,16
5,3,16
5,3,17
5,4,17
5,3,17
4,5,5
5,5,5
5,5,4
5,6,4
5,0,4
5,1,4
5,1,3
5,1,4
6,1,4
6,0,4
6,6,4
5,6,4
6,6,4
5,6,4
5,6,5
4,6,5
4,5,5
4,6,5
4,6,4
3,6,4
4,3,13
4,3,14
4,2,14
4,2,13
4,2,12
5,2,12
5,3,12
6,3,12
6,3,13
6,3,14
6,3,15
6,3,14
6,3,13
6,2,13
0,2,13
0,1,13
1,1,13
1,0,13
1,0,14
1,0,15
1,2,16
1,1,16
1,2,16
1,3,16
0,3,16
0,3,17
6,3,17
6,3,18
6,3,17
5,3,17
5,2,17
5,3,17
6,3,17
5,3,17
4,3,17
4,3,18
4,4,18
5,4,18
5,5,18
6,5,18
1,1,13
2,1,13
1,1,13
1,1,14
1,1,13
1,1,14
0,1,14
0,2,14
0,2,15
0,2,14
0,2,13
6,2,13
6,1,13
6,1,12
6,1,11
0,1,11
0,1,10
0,2,10
0,1,10
6,1,10
4,5,8
4,5,7
4,6,7
3,6,7
3,5,7
4,5,7
4,5,6
4,6,6
4,5,6
3,5,6
4,5,6
3,5,6
4,5,6
5,5,6
5,5,7
5,6,7
5,5,7
5,4,7
5,4,6
5,4,5
2,0,8
2,0,9
1,0,9
1,6,9
1,6,8
1,5,8
0,5,8
0,5,9
0,5,8
0,5,9
0,4,9
0,3,9
0,3,8
6,3,8
6,3,9
6,4,9
5,4,9
5,4,10
5,4,9
5,5,9
6,5,2
6,6,2
6,6,1
0,6,1
0,6,2
0,0,2
0,1,2
0,2,2
1,2,2
1,1,2
1,1,1
1,0,1
1,0,2
0,0,2
