c,x,y,z
0,4.29559,6.26177,2.45
1,6.30893,0.07856,14.05
2,0.29695,2.3103,8.3
3,6.21323,3.78962,14.45
4,2.15418,3.88195,12.7
5,2.15362,4.39007,18.8
6,6.68123,4.4852,8.45
7,2.22491,5.78357,16.9
8,5.25453,0.44595,2.15
9,2.58094,0.57004,11.15
10,5.41195,4.55013,17.9
11,4.68085,1.56145,18.05
12,4.37318,0.05428,6.45
13,1.40528,1.99583,8.4
14,5.0608,4.1585,4.9
15,5.83708,4.5703,2.75
16,6.20404,5.75702,6.55
17,1.24346,0.8056,5.5
18,4.70487,6.07895,8.25
19,3.5,0.92844,15.6
20,0.5421,0.79078,18.0
21,1.82302,5.75063,5.3
22,2.24927,5.57715,0.6
23,0.16593,1.72766,10.8
24,2.5759,3.84918,5.45
25,5.02504,4.83025,11.35
26,2.3532,0.3631,19.15
27,1.85739,2.37977,1.05
28,2.11509,3.45167,5.45
29,4.10729,1.1486,13.35
30,5.0696,0.87943,18.3
31,4.57526,2.40802,3.6
32,2.97358,1.296,10.95
33,2.5276,6.94107,3.45
34,1.03859,2.08977,17.0
35,6.66593,2.67665,1.15
