c,Rg
0,2.3015637335733286
1,2.4668690519968828
2,2.0152635689904193
3,2.2194592383055833
4,1.679050769363452
5,1.5991006458944352
6,2.4388186002653005
7,2.198738686178965
8,1.986515923016979
9,2.6841007733131037
10,1.998270192066128
11,2.5932859363556497
12,2.042561994408003
13,2.357347956030251
14,2.7447497527097076
15,1.8476275633904147
16,2.752109554868774
17,1.9594680762390595
18,1.65985122188707
19,1.6950243224213628
20,2.6138837070726773
21,2.6507439865064297
22,2.0228348390316
23,1.8568274666753504
24,2.29853100307566
25,2.4263348581760105
26,2.042567420968033
27,2.4238879712148416
28,2.196208654977937
29,2.385794024240148
30,2.3118917587335273
31,2.408193830280279
32,2.7908130911438693
33,1.959659110202588
34,2.6826424748184396
35,2.3415979822548536
