c,x,y,z
0,4.18989,5.45167,11.05
1,2.44106,5.89044,16.95
2,4.6884,0.32246,15.45
3,0.52158,5.38656,4.4
4,6.01981,1.46388,13.15
5,1.03326,4.40802,10.85
6,3.87238,7.06407,6.4
7,6.69964,1.01561,16.35
8,2.04487,7.30112,10.1
9,6.73652,2.33301,8.55
10,6.90279,0.68957,11.75
11,2.8415,5.82223,2.3
12,0.39445,2.37415,15.1
13,4.53796,4.11699,9.25
14,3.89399,2.75049,9.65
15,1.13641,6.1128,3.25
16,4.86747,3.09135,14.55
17,1.66166,0.38181,3.95
18,7.18482,7.3217,12.15
19,1.0,1.60601,5.0
20,1.14968,6.50503,2.3
21,4.32612,0.53432,2.2
22,0.2407,5.74318,17.8
23,2.3503,4.24346,11.9
24,0.8476,1.38964,6.05
25,6.63916,4.5,15.65
26,0.17658,2.25173,14.0
27,2.1585,3.97712,11.4
28,0.9594,4.40521,17.8
29,4.62995,3.81576,5.0
30,1.7086,6.65624,0.85
31,1.33161,0.7926,17.05
32,5.13208,6.07306,9.05
33,2.39399,5.98608,1.3
34,4.05939,1.1354,4.3
35,3.04416,5.36063,9.95
