R_rms,Rx_rms,Ry_rms,Rz_rms,err_Rrms,err_Rx,err_Ry,err_Rz
19.000000,0.000000,0.000000,19.000000,0.000000,nan,nan,0.000000
2.838231,1.641476,1.649916,1.624466,0.390651,0.415428,0.533104,0.212452
2.645751,1.699673,1.632993,1.201850,0.298142,0.395333,0.304236,0.135107
2.614065,1.404358,1.724013,1.374369,0.270232,0.248734,0.315697,0.154606
2.426703,1.666667,1.269296,1.224745,0.369834,0.527949,0.184550,0.130627
2.656230,1.598611,1.707825,1.258306,0.311564,0.242414,0.401252,0.165567
2.758824,1.649916,1.914854,1.105542,0.460045,0.298590,0.583132,0.140859
2.368778,1.343710,1.624466,1.080123,0.322569,0.258406,0.418402,0.083503
2.934469,1.802776,2.061553,1.054093,0.481323,0.619028,0.436797,0.143649
2.624669,1.518406,1.740051,1.247219,0.367437,0.238259,0.508317,0.106479
2.472066,1.615893,1.213352,1.424001,0.241448,0.307030,0.208632,0.183724
2.494438,1.364225,1.848423,0.971825,0.360441,0.196533,0.476799,0.089218
2.505549,1.715938,1.589899,0.897527,0.368875,0.395893,0.424613,0.085441
2.494438,1.500000,1.598611,1.190238,0.454927,0.449058,0.551177,0.143364
2.666667,1.589899,1.936492,0.912871,0.372894,0.244399,0.463296,0.112335
2.505549,1.481366,1.732051,1.040833,0.370244,0.244587,0.507875,0.146229
2.494438,1.632993,1.641476,0.927961,0.335896,0.307157,0.312201,0.142643
2.768875,1.929306,1.666667,1.080123,0.348911,0.356423,0.423440,0.114434
2.697736,2.027588,1.500000,0.957427,0.299819,0.352566,0.331044,0.104809
2.603417,1.732051,1.674979,0.986013,0.325993,0.303420,0.405552,0.149128
2.603417,1.632993,1.810463,0.912871,0.379750,0.328235,0.487074,0.098802
2.614065,1.563472,1.795055,1.080123,0.375614,0.315828,0.491944,0.105140
2.603417,1.581139,1.740051,1.118034,0.285389,0.320342,0.304076,0.107460
2.728451,1.624466,1.624466,1.471960,0.386364,0.310748,0.541531,0.185806
2.728451,1.691482,1.748015,1.236033,0.344345,0.397662,0.389962,0.101273
2.527625,1.755942,1.536591,0.971825,0.355549,0.391738,0.329030,0.102376
2.953341,2.013841,1.787301,1.213352,0.357209,0.437363,0.382184,0.097801
2.808717,2.034426,1.641476,1.027402,0.411467,0.443571,0.305043,0.104314
2.848001,1.936492,1.732051,1.166667,0.343644,0.354618,0.390360,0.135690
2.571208,1.500000,1.589899,1.354006,0.281831,0.338941,0.232550,0.141498
2.438123,1.572330,1.589899,0.971825,0.309824,0.236510,0.426825,0.089218
2.426703,1.615893,1.527525,0.971825,0.225972,0.311453,0.171031,0.143405
2.738613,1.748015,1.699673,1.247219,0.345301,0.390960,0.395333,0.106479
2.483277,1.632993,1.615893,0.942809,0.369484,0.415832,0.260429,0.129866
2.592725,1.779513,1.632993,0.942809,0.305461,0.383314,0.307157,0.107275
2.656230,1.433721,1.771691,1.364225,0.200946,0.255799,0.243020,0.124890
2.368778,1.545603,1.471960,1.027402,0.232336,0.178717,0.335478,0.104314
2.778889,2.034426,1.581139,1.040833,0.519141,0.677126,0.219848,0.090532
2.656230,1.699673,1.545603,1.333333,0.261296,0.304675,0.326635,0.163056
2.666667,1.763834,1.509231,1.312335,0.341002,0.383622,0.334854,0.140450
2.368778,1.433721,1.581139,1.027402,0.257734,0.253525,0.324771,0.141081
