Rg_rms,Rgx_rms,Rgy_rms,Rgz_rms,err_Rgrms,err_Rgx,err_Rgy,err_Rgz
5.766281,0.000000,0.000000,5.766281,0.000000,nan,nan,0.000000
3.510489,0.895976,1.046487,3.228874,0.111477,0.071884,0.064995,0.136640
2.192841,1.346508,1.276109,1.169194,0.067588,0.059663,0.058650,0.096874
2.219213,1.336915,1.319905,1.181278,0.056686,0.066305,0.061655,0.096292
2.142981,1.257724,1.272277,1.179748,0.044871,0.063503,0.057160,0.075919
2.217106,1.308498,1.307585,1.222134,0.065658,0.063178,0.051364,0.090394
2.311134,1.320795,1.410144,1.268201,0.067258,0.075152,0.061466,0.092669
2.397191,1.500319,1.448063,1.182658,0.056470,0.067666,0.071196,0.082024
2.247975,1.333731,1.249627,1.308811,0.055067,0.064796,0.069186,0.083081
2.167256,1.289344,1.409125,1.024187,0.047683,0.063025,0.066012,0.059469
2.244923,1.471983,1.241370,1.154099,0.058779,0.065280,0.072219,0.091657
2.267570,1.364736,1.401758,1.146492,0.049703,0.064973,0.064037,0.075975
2.172363,1.265763,1.345797,1.142731,0.056759,0.070313,0.069036,0.075045
2.379777,1.333876,1.262472,1.513366,0.065192,0.072796,0.061781,0.114536
2.229126,1.423401,1.355165,1.051883,0.052322,0.061708,0.064155,0.066733
2.305994,1.487627,1.300183,1.189158,0.064363,0.066000,0.073506,0.102887
2.277745,1.339734,1.276240,1.328324,0.068637,0.074350,0.069977,0.092548
2.355224,1.338589,1.455014,1.279920,0.057084,0.069223,0.079468,0.111589
2.278020,1.335992,1.307770,1.301628,0.073773,0.063146,0.070191,0.081567
2.236270,1.265611,1.374659,1.228594,0.054343,0.071207,0.064988,0.086417
2.322243,1.269057,1.228544,1.507643,0.071763,0.065763,0.064893,0.105189
2.254812,1.358023,1.265605,1.279920,0.059908,0.066881,0.079399,0.068052
2.304733,1.228545,1.331942,1.424220,0.061657,0.064806,0.079931,0.079272
2.248035,1.352090,1.402785,1.121476,0.059918,0.065731,0.067429,0.084302
2.228029,1.424753,1.298166,1.117568,0.052193,0.068680,0.069643,0.070781
2.281093,1.379045,1.393370,1.166250,0.052202,0.082338,0.070759,0.064694
2.213666,1.311764,1.281279,1.240128,0.050312,0.061767,0.065365,0.087498
2.284343,1.289482,1.461511,1.191404,0.043506,0.074002,0.063569,0.065867
2.241316,1.286143,1.252038,1.342288,0.061957,0.067382,0.064446,0.104276
2.280256,1.324915,1.453230,1.154249,0.059891,0.074979,0.059585,0.066400
2.178450,1.246884,1.374502,1.140906,0.070770,0.073881,0.063241,0.093096
2.229940,1.317480,1.265599,1.278725,0.066370,0.072424,0.070818,0.094431
2.248871,1.266850,1.319620,1.308094,0.057986,0.086222,0.069612,0.072782
2.245182,1.259824,1.297329,1.330648,0.069188,0.064489,0.065178,0.106184
2.297480,1.409974,1.391158,1.164075,0.064101,0.066765,0.073883,0.090483
2.173000,1.300019,1.231250,1.231220,0.063306,0.058132,0.055928,0.112712
2.174826,1.328737,1.266647,1.166161,0.054059,0.077043,0.066953,0.079340
2.314668,1.307642,1.225077,1.465246,0.068929,0.062196,0.069103,0.106045
2.272702,1.272144,1.381783,1.279648,0.049514,0.053175,0.068434,0.072931
2.182066,1.146968,1.377034,1.244851,0.075223,0.066080,0.060508,0.114533
2.404091,1.444508,1.451338,1.259630,0.052772,0.073062,0.066543,0.079170
