Re,Rx2,Ry2,Rz2
5.744562646538029,4.0,4,25
7.14142842854285,1,25.0,25
2.23606797749979,4,1,0
3.605551275463989,4.0,0.0,9
3.3166247903554,1.0,9,1
3.3166247903554,1,9,1
7.681145747868608,1,9,49
3.3166247903554,1.0,1,9
6.4031242374328485,25.0,16.0,0
4.358898943540674,9.0,9.0,1
4.123105625617661,4,4,9
5.0,9,16.0,0
5.744562646538029,25.0,4,4
3.3166247903554,1.0,9,1
3.605551275463989,4.0,0,9
1.0,1,0,0
7.280109889280518,1.0,16.0,36
8.54400374531753,64.0,9.0,0
7.0,4.0,9,36
4.123105625617661,0.0,1.0,16
5.0,0,25.0,0
4.123105625617661,0,1,16
7.14142842854285,49.0,1,1
7.54983443527075,25,16,16
4.358898943540674,9.0,9,1
5.196152422706632,9.0,9.0,9
5.916079783099616,1,9.0,25
4.58257569495584,16,1.0,4
4.58257569495584,1.0,16.0,4
5.385164807134504,4,16.0,9
5.744562646538029,16.0,1.0,16
4.123105625617661,16.0,1.0,0
6.557438524302,25,9.0,9
6.708203932499369,25.0,4,16
5.196152422706632,1,25.0,1
3.0,1,4.0,4
