c,x,y,z
0,3.83578,5.36063,10.1
1,0.87238,1.5,9.8
2,0.6884,2.6884,9.4
3,5.44792,1.6884,11.55
4,1.54833,2.5,9.35
5,1.6952,0.32661,9.4
6,6.40844,3.88195,10.35
7,6.40844,0.41921,9.95
8,4.43496,6.36063,9.95
9,5.45519,0.59156,9.9
10,2.81834,1.54833,9.8
11,3.59156,2.90563,10.85
12,2.26146,6.32174,10.45
13,7.34576,3.63937,10.6
14,3.40844,6.74229,8.45
15,0.59156,4.63937,10.05
16,6.21038,2.28113,9.1
17,6.47784,5.20251,11.85
18,4.91388,2.25279,8.9
19,4.5,0.60383,10.85
20,0.3116,0.19277,9.45
21,1.8415,3.45335,10.3
22,1.78962,4.07306,9.75
23,5.1884,2.85403,10.25
24,5.59479,6.40844,10.0
25,2.07606,0.5,8.5
26,0.87585,6.57555,8.95
27,2.90563,3.3243,8.2
28,2.04809,5.26106,10.45
29,4.45335,4.0,9.25
30,3.36063,1.15739,10.7
31,5.78959,5.4819,9.7
32,5.3845,3.92394,11.55
33,1.03677,5.60199,10.45
34,2.89399,3.88195,9.65
35,4.63163,5.26146,10.1
