c,Rg
0,2.253871303025086
1,1.9452639310129616
2,1.694549286270541
3,1.739573009821663
4,1.5121271290800915
5,2.90146341314172
6,2.2043204010533493
7,2.357069171153023
8,2.2932567133445834
9,1.940579014546947
10,2.138292826555802
11,2.0023938306437126
12,2.8881541915209445
13,2.4282103985651653
14,1.8398030317400829
15,2.040389454417955
16,2.27761275314747
17,2.0648002994236516
18,2.4679796471000324
19,2.160894485461981
20,2.4295589292297484
21,2.8088887440587604
22,2.111753446262134
23,2.2146987623828216
24,1.6950268707309626
25,1.708070779915165
26,1.9700532018196868
27,2.130386595456327
28,1.9515254797209287
29,1.9928421795265174
30,2.333772167221985
31,2.4040751389255703
32,2.232495866625513
33,3.300441540400314
34,1.9434538841968954
35,2.2968748738448945
