c,x,y,z
0,3.7,5.0,10.0
1,0.7,1.3,11.0
2,0.6,3.25,7.35
3,6.05,1.55,10.1
4,1.15,2.35,9.0
5,1.6,1.9,10.1
6,6.45,3.45,10.9
7,6.5,0.9,10.2
8,4.65,6.3,10.05
9,5.45,0.95,9.9
10,2.7,1.25,9.05
11,3.5,2.95,7.35
12,2.15,6.5,8.65
13,1.1,4.9,6.1
14,3.65,6.3,9.75
15,1.3,5.4,2.0
16,5.7,2.55,10.65
17,6.25,5.2,10.75
18,4.55,3.35,9.9
19,4.55,1.8,8.85
20,1.3,1.5,13.8
21,1.9,3.2,9.6
22,0.95,5.0,8.45
23,5.6,3.35,9.55
24,5.95,6.05,11.3
25,4.05,0.65,9.6
26,2.65,0.65,12.0
27,2.75,2.75,8.8
28,1.95,5.25,9.3
29,2.25,5.0,8.95
30,4.3,1.5,9.8
31,5.6,5.35,12.35
32,4.75,4.3,11.45
33,1.7,5.7,5.1
34,3.5,4.05,9.95
35,4.85,5.6,10.35
