c,Rg
0,4.884669896727925
1,3.4741905532080417
2,3.899358921669048
3,3.0058276730378273
4,4.796352781020178
5,3.7775653535048206
6,3.890372732785382
7,5.103920062069938
8,5.151213449275811
9,3.5686131760110955
10,4.036706578387881
11,3.996873778342268
12,4.031749000123892
13,3.952214569073901
14,4.666369038128039
15,2.387467277262665
16,4.6189825719524
17,2.680485030736042
18,5.226375417055304
19,4.380068492615155
20,3.502855977627399
21,4.24735211631906
22,4.18867520822515
23,4.308712104562105
24,4.522720420278044
25,5.026430144744877
26,4.594017849334066
27,3.1280984639234104
28,4.7428894146922715
29,3.766297917053296
30,4.676537180435969
31,3.9172694571601787
32,4.471576903062274
33,3.4
34,3.7676252467569014
35,4.974434641243163
