c,x,y,z
0,4.35,4.65,7.2
1,2.5,4.75,6.25
2,4.8,4.95,1.55
3,5.0,1.0,10.3
4,1.1,4.45,10.85
5,2.15,1.45,4.0
6,5.95,4.45,8.3
7,5.55,1.35,14.1
8,5.4,1.7,15.9
9,5.6,1.25,8.15
10,2.55,1.2,17.95
11,4.7,3.5,14.0
12,2.0,5.75,15.65
13,2.1,5.55,13.15
14,5.1,5.6,16.7
15,2.25,1.4,14.25
16,2.5,2.3,10.4
17,5.1,2.35,5.55
18,2.2,3.45,2.35
19,4.45,2.1,16.35
20,2.2,6.1,2.2
21,1.7,3.1,8.3
22,4.9,3.6,18.0
23,5.2,3.85,1.65
24,5.55,5.85,5.8
25,3.1,1.75,9.05
26,5.85,3.4,5.15
27,2.15,1.5,4.15
28,3.55,5.9,18.55
29,2.15,3.15,13.3
30,4.5,1.1,2.2
31,1.8,5.5,4.4
32,4.0,4.65,11.15
33,1.9,2.95,18.75
34,3.95,5.9,9.15
35,4.85,5.65,13.6
