x,y,z
4,5,5
4,5,4
4,5,3
4,5,4
4,5,5
4,5,6
4,5,7
3,5,7
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,16
3,5,17
3,5,16
3,5,15
1,2,6
1,2,5
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
0,2,13
1,2,13
1,1,13
1,2,13
1,2,14
1,2,15
1,2,14
1,2,13
1,2,5
1,2,4
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
0,2,13
1,2,13
1,2,14
1,2,15
1,2,16
1,2,15
1,2,14
4,2,7
4,2,6
4,2,5
4,2,6
4,2,7
4,2,8
4,2,9
4,2,10
4,2,11
5,2,11
5,1,11
5,2,11
6,2,11
5,2,11
5,2,12
5,2,13
5,2,14
5,2,13
5,2,12
5,2,11
1,2,4
1,2,3
1,2,2
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,16
1,2,17
1,2,16
1,2,15
1,2,5
1,2,4
1,2,3
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
1,1,13
1,2,13
1,2,14
1,2,15
1,2,16
1,2,15
1,2,14
4,5,6
4,5,7
4,4,7
4,5,7
4,4,7
4,3,7
4,2,7
4,2,8
4,2,9
4,2,10
4,2,11
5,2,11
5,3,11
5,2,11
5,2,12
5,2,13
5,2,14
5,2,13
5,2,12
5,2,11
4,3,7
4,2,7
4,1,7
4,0,7
4,1,7
4,2,7
4,2,6
4,2,7
4,2,8
4,2,9
4,2,10
4,2,11
5,2,11
5,2,12
5,2,13
5,2,14
5,2,13
5,2,12
5,2,11
5,2,12
4,5,5
4,5,4
4,5,3
4,5,4
4,5,5
4,5,6
4,5,7
4,6,7
4,5,7
4,5,8
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,14
3,5,13
4,5,6
4,5,7
4,4,7
4,3,7
4,2,7
4,1,7
4,0,7
4,1,7
4,2,7
4,2,8
4,2,9
4,2,10
4,2,11
5,2,11
5,2,10
5,2,11
4,2,11
5,2,11
4,2,11
5,2,11
1,2,6
1,2,5
1,2,4
1,2,5
1,2,6
1,2,7
2,2,7
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
1,2,13
1,1,13
1,2,13
1,2,14
1,2,15
1,2,14
1,2,13
1,2,6
1,2,5
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
2,2,11
3,2,11
2,2,11
1,2,11
1,2,12
1,2,13
1,2,14
1,2,15
1,2,14
1,2,13
4,5,7
4,5,6
4,5,7
4,5,6
4,5,7
4,6,7
4,5,7
4,5,8
3,5,8
3,5,9
3,5,10
3,5,11
3,5,12
3,5,13
3,5,14
3,5,15
3,5,14
3,5,13
3,5,14
3,5,15
1,2,6
1,2,5
1,2,4
1,2,5
1,2,6
1,2,7
1,2,8
1,2,9
1,2,10
1,2,11
1,2,12
