Rg_rms,Rgx_rms,Rgy_rms,Rgz_rms,err_Rgrms,err_Rgx,err_Rgy,err_Rgz
5.766281,0.000000,0.000000,5.766281,0.000000,nan,nan,0.000000
2.646486,1.277557,0.912376,2.130565,0.102172,0.084353,0.053651,0.137010
2.084633,1.268475,1.099811,1.235752,0.057799,0.072808,0.069054,0.063732
2.204919,1.173285,1.205543,1.425390,0.082884,0.064197,0.091724,0.134059
2.119978,1.000000,1.127251,1.491178,0.073858,0.059925,0.083705,0.113322
2.039948,1.037994,1.181895,1.298878,0.061291,0.073312,0.080409,0.073539
2.116699,1.182012,1.207068,1.275245,0.060688,0.078051,0.070167,0.085132
2.060036,1.130788,1.021777,1.386016,0.049591,0.074377,0.080892,0.083054
2.120567,1.138682,1.122837,1.392639,0.058449,0.067929,0.068053,0.090289
2.122629,1.134497,1.067968,1.441498,0.057577,0.070543,0.070748,0.098579
1.990812,1.112149,1.045759,1.277829,0.067364,0.070357,0.082114,0.067043
2.113318,1.203150,1.102239,1.342986,0.068224,0.079352,0.087430,0.096215
2.037155,1.125463,1.116946,1.278970,0.065539,0.070277,0.091768,0.096658
2.028067,1.102270,1.096142,1.302508,0.058521,0.063388,0.076718,0.078668
2.012634,1.118469,1.121228,1.242002,0.056486,0.079929,0.058772,0.081358
2.112857,1.212550,1.089534,1.344175,0.076260,0.063960,0.076994,0.101675
2.064380,1.105416,1.187931,1.276143,0.045659,0.062534,0.074414,0.081075
2.122728,1.185883,1.172367,1.313472,0.056522,0.074616,0.073571,0.090855
1.971216,1.045725,1.058858,1.292661,0.057084,0.053888,0.069134,0.092871
2.031659,0.955031,1.135598,1.387794,0.067590,0.051140,0.071460,0.094252
2.158639,1.192395,1.170292,1.366870,0.086905,0.086593,0.086693,0.118193
2.088494,1.200434,1.143642,1.269979,0.049410,0.075053,0.071830,0.067369
2.180787,1.234093,1.162493,1.371663,0.078675,0.086034,0.083581,0.082308
2.112726,1.081216,1.249944,1.316139,0.065616,0.068857,0.074624,0.083276
2.127662,1.114176,1.189830,1.367429,0.061485,0.079784,0.070503,0.094946
2.098544,1.142184,1.277340,1.211490,0.061132,0.063096,0.088497,0.067087
2.103799,1.126296,1.257947,1.254990,0.064691,0.067878,0.062710,0.098146
2.078828,1.046124,1.218834,1.319696,0.057812,0.062654,0.058909,0.096134
2.095299,1.115173,1.168213,1.334895,0.070484,0.075326,0.054249,0.100633
2.140029,1.208937,1.147764,1.341951,0.069573,0.068806,0.062996,0.099015
2.043961,1.000139,1.251111,1.269733,0.069616,0.059695,0.078002,0.074986
2.223423,1.236763,1.238391,1.371283,0.068949,0.086479,0.072847,0.104737
2.161404,1.206349,1.176506,1.353596,0.080753,0.071663,0.073734,0.130607
2.096558,1.175532,1.158183,1.293171,0.060066,0.074620,0.075553,0.077954
2.116699,1.051817,1.210257,1.381801,0.050221,0.064488,0.061690,0.079684
2.070058,1.065038,1.102522,1.391143,0.064884,0.075124,0.082173,0.093337
2.215037,1.260622,1.227633,1.345414,0.080289,0.068847,0.072375,0.119580
2.024160,1.202832,1.007231,1.279024,0.064091,0.075061,0.057360,0.071026
2.023199,1.137309,0.989599,1.349280,0.063997,0.073962,0.066923,0.091457
2.088028,1.040900,1.124753,1.418210,0.079345,0.082325,0.074843,0.095466
1.959344,1.136301,1.124321,1.133027,0.053257,0.074748,0.062506,0.059494
