R_rms,Rx_rms,Ry_rms,Rz_rms,err_Rrms,err_Rx,err_Ry,err_Rz
19.000000,0.000000,0.000000,19.000000,0.000000,nan,nan,0.000000
3.922867,2.020726,2.041241,2.671870,0.270583,0.184263,0.291221,0.344830
3.894440,1.993043,2.061553,2.635231,0.320481,0.247966,0.217656,0.323458
4.027682,2.554952,1.979057,2.403701,0.282094,0.279218,0.184060,0.322370
3.887301,2.020726,1.936492,2.697736,0.224765,0.190487,0.233758,0.327544
3.399346,1.825742,1.878238,2.166667,0.262493,0.190238,0.256191,0.236168
4.027682,2.315407,1.848423,2.728451,0.299915,0.251001,0.256252,0.356813
3.496029,1.950783,1.624466,2.403701,0.287008,0.242472,0.234650,0.315261
3.535534,1.536591,1.870829,2.576604,0.266518,0.174968,0.166497,0.376709
3.590110,2.081666,2.127858,2.006932,0.249370,0.216955,0.235069,0.237492
3.785939,1.957890,1.972027,2.571208,0.252781,0.158441,0.293080,0.242075
3.407508,1.699673,2.236068,1.929306,0.218370,0.196038,0.240040,0.191952
3.719319,2.088327,2.000000,2.339278,0.254252,0.202386,0.172516,0.278748
4.169999,2.380476,2.061553,2.733537,0.235161,0.235207,0.194551,0.268301
3.749074,1.740051,2.074983,2.592725,0.241510,0.176424,0.230771,0.223951
3.894440,2.114763,1.922094,2.645751,0.257056,0.307332,0.220053,0.283323
3.366502,1.878238,1.840894,2.101587,0.219019,0.194840,0.229110,0.248694
3.399346,2.127858,1.581139,2.127858,0.211162,0.179220,0.242507,0.211519
3.704352,1.572330,1.993043,2.697736,0.236895,0.149094,0.212846,0.278414
3.741657,2.108185,1.740051,2.554952,0.237260,0.223296,0.203342,0.322838
3.439961,2.179449,1.374369,2.279132,0.231165,0.269188,0.184355,0.261893
3.922867,1.863390,1.763834,2.967416,0.266937,0.176145,0.190253,0.349906
3.726780,1.993043,2.140872,2.309401,0.211780,0.229120,0.208556,0.226253
4.089281,1.943651,2.027588,2.972092,0.235476,0.190397,0.200813,0.285506
4.216370,2.061553,2.608746,2.592725,0.312004,0.212445,0.273922,0.316937
3.865805,2.160247,1.993043,2.511087,0.212835,0.223226,0.218405,0.280005
3.778595,1.929306,2.179449,2.409472,0.260019,0.306227,0.276536,0.239020
4.288227,1.964971,2.415229,2.948634,0.305159,0.223297,0.245296,0.393107
3.800585,2.173067,1.763834,2.571208,0.214991,0.221456,0.230289,0.278078
3.613247,2.242271,1.771691,2.211083,0.229572,0.222188,0.171685,0.235587
3.597839,2.054805,2.108185,2.068279,0.252392,0.224260,0.258851,0.289842
3.666667,2.198484,1.763834,2.345208,0.242018,0.246569,0.157215,0.203593
3.741657,2.013841,2.254625,2.204793,0.257869,0.225772,0.263048,0.192545
3.472111,1.840894,1.972027,2.185813,0.181605,0.201365,0.188922,0.245408
4.013865,2.074983,2.140872,2.687419,0.258347,0.267402,0.232132,0.293437
3.651484,1.779513,2.048034,2.443813,0.249881,0.188816,0.220694,0.272979
3.756476,1.740051,2.217356,2.483277,0.242420,0.207173,0.247241,0.327278
3.333333,1.779513,2.242271,1.707825,0.185528,0.218361,0.209009,0.228980
3.872983,2.153808,2.041241,2.488864,0.273329,0.319076,0.281239,0.278968
3.807887,2.254625,1.825742,2.466441,0.244115,0.224630,0.211570,0.232597
3.503966,1.964971,2.242271,1.840894,0.264747,0.211963,0.272016,0.297192
