Re,Rx2,Ry2,Rz2
6.708203932499369,36,9,0
6.557438524302,9,9,25
3.3166247903554,1,9,1
5.385164807134504,25,4,0
4.58257569495584,1,4,16
2.23606797749979,0,1,4
5.744562646538029,16,1,16
2.23606797749979,0,1,4
4.123105625617661,4,4,9
5.196152422706632,1,1,25
5.744562646538029,25,4,4
2.23606797749979,4,1,0
2.23606797749979,0,4,1
3.0,1,4,4
5.0,0,0,25
5.0,16,0,9
7.280109889280518,36,1,16
5.0,16,9,0
5.0,0,9,16
8.18535277187245,9,9,49
2.23606797749979,0,4,1
9.219544457292887,0,4,81
1.0,0,0,1
5.0,16,0,9
6.082762530298219,36,0,1
6.4031242374328485,16,16,9
4.58257569495584,16,4,1
2.23606797749979,4,0,1
3.0,4,4,1
5.0,0,9,16
3.3166247903554,9,1,1
6.4031242374328485,1,4,36
3.605551275463989,0,4,9
3.3166247903554,1,1,9
2.23606797749979,4,1,0
3.0,9,0,0
